Firm Name,CRD Number,AUM (Millions),Website
"OUTERLANDS CAPITAL MANAGEMENT, LLC",327602,48.56,"https://twitter.com/OuterlandsCap, https://www.linkedin.com/company/outerlands-capital/, https://www.outerlands.io/"
"HILBERT 8, LLC",284577,47.19,"https://www.linkedin.com/company/hilbert8/, HTTPS://WWW.HILBERT8.COM"
GROUP RMC INVESTMENT ADVISOR LLC,318504,46.7,http://www.grouprmc.com
"CBF ADVISORS, LLC",134079,46.63,HTTP://WWW.CLEARBROOKGLOBAL.COM
SZOP MULTISTRAT MANAGEMENT LLC,317689,44.05,N/A
ACME CREDIT PARTNERS LLC,328087,43.81,"https://www.linkedin.com/company/acme-credit-partners/, https://www.acmecreditpartners.com/"
MARLOWE PARTNERS LP,170091,43.4,"HTTP://WWW.MARLOWEPARTNERS.COM, https://www.marlowepartners.com"
"DAVIS CAPITAL ADVISORS, LLC",153496,41.78,HTTP://WWW.DAVISCAPITALADVISORS.COM
ATLA CAPITAL MANAGEMENT LLC,312501,41.67,"http://www.atlacap.com, https://www.linkedin.com/company/74891263"
ASA ASSET MANAGEMENT LLC,335177,41.66,N/A
TELSEY CONSUMER FUND MANAGEMENT LP,312514,41.5,N/A
"MSRESS III MANAGER, L.L.C.",138602,40.68,http://www.morganstanley.com/im/en-us/institutional-investor/strategies/real-assets/private-real-estate.html
"PALLADIUM HERITAGE MANAGEMENT, LLC",321623,39.53,http://www.palladiumequity.com
GRIZZLY CAPITAL MANAGEMENT LP,324228,38.56,"https://x.com/ResearchGrizzly, https://www.linkedin.com/company/grizzly-research-llc, https://stocktwits.com/Grizzly_Research, https://investorshub.advfn.com/boards/profilea.aspx?user=853714, https://grizzlyreports.com/"
ARDINALL INVESTMENT MANAGEMENT LP,298114,36.16,"https://www.ardinall.com/, https://www.linkedin.com/company/ardinall-investment-management/, https://www.bloomberg.com/profile/company/1648200D:US"
"CANNON HILL INVESTMENT MANAGEMENT, LLC",166750,36.05,"https://www.cannonhillcap.com/, https://www.linkedin.com/company/cannon-hill-capital-partners-llc/mycompany/?viewAsMember=true"
SPP CREDIT ADVISORS LLC,314442,34.47,HTTPS://www.sppcreditpartners.com
"ELKWATER CAPITAL MANAGEMENT, LLC",333963,32.9,"https://www.elkwatercapital.com/, https://www.linkedin.com/company/elkwater-capital-management-llc/"
OLD BELLOWS PARTNERS L.P.,157569,31.9,N/A
QUARTUS INVESTMENT ADVISORS LLC,287597,31.21,N/A
"STOCKWELL VENTURES, LLC",323092,30.0,N/A
GILEAD CAPITAL LP,282023,28.41,"https://www.linkedin.com/company/gilead-capital-lp/about/, https://www.gileadcapital.com"
"AXEL CAPITAL MANAGEMENT, LLC",151246,26.51,HTTP://WWW.AXELCAPITAL.COM
ARTESIAN CAPITAL MANAGEMENT (DELAWARE) LP,325768,26.0,"https://www.linkedin.com/company/artesian-capital-management/, https://www.artesianinvest.com/, https://twitter.com/artesianvc"
"DJA CAPITAL MANAGEMENT, LP",332825,25.92,N/A
5C INVESTMENT PARTNERS ADVISOR LLC,330565,24.99,"https://www.5cinvest.com/, https://www.linkedin.com/company/5c-investment-partners/"
"M.D. SASS-MACQUARIE FINANCIAL STRATEGIES MANAGEMENT COMPANY, LLC",124506,18.02,"HTTP://WWW.MDSASS.COM, https://www.linkedin.com/company/md-sass/"
KAHN BROTHERS ASSET MANAGEMENT CORP,105620,15.83,HTTP://WWW.KAHNBROTHERS.COM
"KRANE CAPITAL MANAGEMENT, LLC",329110,15.41,https://kranecapitalmanagement.com/
